,Np,Nt,Kp,Kt,lp,Rg,E2E,zd,lb,sd_lp,sd_Rg,sd_zd
119,32.0,8.0,16.0,64.0,4.325681798080478,4.973491309643885,12.456202001649592,9.837094545454546,0.9529551718358941,0.2514582255513268,0.5366940785743796,1.27522267588031
120,32.0,8.0,64.0,0.25,19.567369718748964,7.644406259395612,23.16199387363695,5.400384545454545,0.9508163029392739,0.3332843713394532,0.3207429953759338,0.5996456805839387
121,32.0,8.0,64.0,1.0,22.736954112262264,7.8111840466620155,24.183092693615393,6.244330909090909,0.9516789197648148,0.42375995299051245,0.137211304076911,1.2364523146005235
122,32.0,8.0,64.0,4.0,41.94628777458342,8.158596396746207,26.55789804221072,5.248714545454546,0.9550469995929952,1.3195048852797464,0.0877926513618496,1.0946770669626198
123,32.0,8.0,64.0,16.0,20.663060093265635,7.694727932972986,23.742804754725793,7.398531818181819,0.9548317884551337,0.35286029591693885,0.38788107529690435,1.40305452904348
124,32.0,8.0,64.0,64.0,14.735142121584131,7.252776540514963,22.3414712896945,8.884027272727273,0.9546337847890713,0.3804305951050821,0.20694501605773796,1.9704400172046983
125,32.0,32.0,0.25,0.25,1.1203629143144795,3.562454667996675,8.833357019395551,9.476905454545456,0.9516243613195393,0.06962249170295803,0.3805206127032541,2.5421584117558758
126,32.0,32.0,0.25,1.0,1.0665471559040762,3.628336161260246,8.690173907379767,11.410073818181818,0.9565381554868627,0.07478977605146235,0.3553936278134073,2.4105987932040236
127,32.0,32.0,0.25,4.0,1.2025931705238793,3.6011496810068566,9.055295876309241,9.005779090909092,0.951633184884744,0.06966852290840998,0.45436302038235926,3.8571108094211817
128,32.0,32.0,0.25,16.0,1.085779554695735,3.505491696191559,9.012492436610357,24.62320363636364,0.9543649886489489,0.07077994094010918,0.474047582478407,1.539420799741802
129,32.0,32.0,0.25,64.0,1.005291596957458,3.3172059229287827,8.717735243110333,26.887667272727274,0.9568045081886524,0.05242010795266011,0.3062545585782042,3.4072220797436374
130,32.0,32.0,1.0,0.25,1.3574680161032313,3.9718468628145107,9.708258361034282,7.505182727272728,0.9523372147721443,0.09677214852458514,0.44394171943216887,1.8098938869853969
131,32.0,32.0,1.0,1.0,1.4219460737107281,3.554354670186269,7.987200510989728,7.490916363636364,0.9551470695671636,0.09121179494906503,0.23161821320517514,2.606471284714513
132,32.0,32.0,1.0,4.0,1.3515371576222306,3.6881783941007384,9.48548267409886,8.902108545454546,0.9562241212410418,0.07698811012455307,0.30558460723063247,3.7082038678406595
133,32.0,32.0,1.0,16.0,1.1601509873800595,3.4523548977297467,7.911951116409967,23.474673636363637,0.9524604004521909,0.07764329711801221,0.2198492076437515,3.3464882772739886
134,32.0,32.0,1.0,64.0,1.0088351117544194,3.2710082578143655,8.317137893286862,28.64633,0.9576645976317172,0.04531402195582258,0.3421498040083169,1.7738443743104202
135,32.0,32.0,4.0,0.25,2.0341878044566326,4.292858156908046,10.0405406708544,11.13135009090909,0.9511250723739905,0.08553095644463284,0.44779325764697053,2.908007645143147
136,32.0,32.0,4.0,1.0,2.2430835733627883,4.277499884831728,10.042520054108293,10.241897090909092,0.951842043915901,0.07304539521855254,0.6630580265943572,3.585331907100106
